Resort,Zip,Station,Station ID,Years,Visits,Average Snow Depth,Average High Temp,Average Low Temp,Average Median Temp
Whitefish,59937,USC00246218,218,2007-2008,"296,708",22,34.68852459,20.77868852,27.73360656
Whitefish,59937,USC00246218,218,2008-2009,"280,484",20,32.11570248,16.65289256,24.38429752
Whitefish,59937,USC00246218,218,2009-2010,"282,933",9,36.29752066,20.76859504,28.53305785
Whitefish,59937,USC00246218,218,2010-2011,"318,222",21,31.99173554,19.41322314,25.70247934
Whitefish,59937,USC00246218,218,2011-2012,"294,261",9,36.66115702,23.42975207,30.04545455
Whitefish,59937,USC00246218,218,2012-2013,"322,589",11,36.04958678,23.27272727,29.66115702
Whitefish,59937,USC00246218,218,2013-2014,"344,958",18,31.38842975,18.49586777,24.94214876
Whitefish,59937,USC00246218,218,2014-2015,"310,290",14,36.89247312,22.35483871,29.62365591
Whitefish,59937,USC00246218,218,2015-2016,"322,459",8,36.8852459,26.01639344,31.45081967
Whitefish,59937,USC00246218,218,2016-2017,"346,547",19,31.4214876,17.38842975,24.40495868
Whitefish,59937,USC00246218,218,2017-2018,"382,066",23,31.81818182,19.39669421,25.60743802
Whitefish,59937,USC00246218,218,2018-2019,"379,387",16,32.12222222,14.7,23.41111111
Whitefish,59937,USC00246218,218,2019-2020,"358,990",13,36.81147541,23.79508197,30.30327869
Whitefish,59937,USC00246218,218,2020-2021,"458,526",10,40.66115702,26.25619835,33.45867769
