Date,24 hr New Snow,Season Snowfall Total,Base Depth
10-Nov-10,13 cm,746 cm,0 cm
15-Nov-10,20 cm,766 cm,8 cm
16-Nov-10,15 cm,781 cm,13 cm
17-Nov-10,15 cm,796 cm,18 cm
18-Nov-10,15 cm,811 cm,15 cm
22-Nov-10,41 cm,852 cm,38 cm
24-Nov-10,23 cm,875 cm,58 cm
25-Nov-10,25 cm,900 cm,51 cm
26-Nov-10,5 cm,905 cm,51 cm
28-Nov-10,10 cm,915 cm,51 cm
29-Nov-10,5 cm,920 cm,53 cm
1-Dec-10,3 cm,923 cm,112 cm
2-Dec-10,15 cm,938 cm,112 cm
3-Dec-10,25 cm,963 cm,112 cm
4-Dec-10,13 cm,976 cm,145 cm
5-Dec-10,3 cm,979 cm,137 cm
7-Dec-10,10 cm,989 cm,64 cm
9-Dec-10,8 cm,997 cm,64 cm
10-Dec-10,5 cm,1002 cm,140 cm
11-Dec-10,15 cm,1017 cm,145 cm
12-Dec-10,5 cm,1022 cm,145 cm
