Date,24 hr New Snow,Season Snowfall Total,Base Depth
17-Dec-12,20 cm,1157 cm,40 cm
18-Dec-12,6 cm,1163 cm,169 cm
19-Dec-12,18 cm,1181 cm,169 cm
20-Dec-12,48 cm,1229 cm,100 cm
21-Dec-12,14 cm,1243 cm,100 cm
25-Dec-12,2 cm,1245 cm,100 cm
27-Dec-12,1 cm,1246 cm,100 cm
28-Dec-12,1 cm,1247 cm,100 cm
27-Feb-11,5 cm,5 cm,282 cm
28-Feb-11,13 cm,18 cm,292 cm
1-Mar-11,10 cm,28 cm,295 cm
2-Mar-11,13 cm,41 cm,302 cm
3-Mar-11,18 cm,59 cm,305 cm
4-Mar-11,10 cm,69 cm,307 cm
5-Mar-11,18 cm,87 cm,318 cm
6-Mar-11,18 cm,105 cm,320 cm
8-Mar-11,3 cm,108 cm,302 cm
9-Mar-11,3 cm,111 cm,302 cm
10-Mar-11,36 cm,147 cm,330 cm
11-Mar-11,13 cm,160 cm,335 cm
12-Mar-11,28 cm,188 cm,353 cm
13-Mar-11,15 cm,203 cm,345 cm
14-Mar-11,36 cm,239 cm,368 cm
15-Mar-11,13 cm,252 cm,373 cm
16-Mar-11,33 cm,285 cm,391 cm
17-Mar-11,3 cm,288 cm,384 cm
19-Mar-11,5 cm,293 cm,366 cm
20-Mar-11,8 cm,301 cm,368 cm
22-Mar-11,8 cm,309 cm,356 cm
28-Mar-11,3 cm,312 cm,338 cm
29-Mar-11,8 cm,320 cm,348 cm
30-Mar-11,8 cm,328 cm,348 cm
31-Mar-11,10 cm,338 cm,345 cm
1-Apr-11,5 cm,343 cm,340 cm
2-Apr-11,8 cm,351 cm,345 cm
4-Apr-11,8 cm,359 cm,343 cm
5-Apr-11,10 cm,369 cm,348 cm
6-Apr-11,8 cm,377 cm,351 cm
7-Apr-11,5 cm,382 cm,351 cm
11-Apr-11,28 cm,410 cm,366 cm
12-Apr-11,5 cm,415 cm,368 cm
13-Apr-11,8 cm,423 cm,371 cm
14-Apr-11,10 cm,433 cm,376 cm
15-Apr-11,10 cm,443 cm,377 cm
16-Apr-11,1 cm,444 cm,368 cm
17-Apr-11,3 cm,447 cm,368 cm
20-Apr-11,3 cm,450 cm,358 cm
21-Apr-11,5 cm,455 cm,365 cm
25-Apr-11,3 cm,458 cm,348 cm
29-Apr-11,1 cm,459 cm,340 cm
3-May-11,1 cm,460 cm,328 cm
7-May-11,3 cm,463 cm,318 cm
12-May-11,15 cm,478 cm,318 cm
13-May-11,9 cm,487 cm,318 cm
17-May-11,3 cm,490 cm,302 cm
17-Nov-11,23 cm,513 cm,76 cm
18-Nov-11,58 cm,571 cm,196 cm
19-Nov-11,7 cm,578 cm,70 cm
21-Nov-11,5 cm,583 cm,71 cm
22-Nov-11,71 cm,654 cm,135 cm
23-Nov-11,18 cm,672 cm,132 cm
24-Nov-11,20 cm,692 cm,135 cm
25-Nov-11,7 cm,699 cm,135 cm
26-Nov-11,15 cm,714 cm,356 cm
27-Nov-11,13 cm,727 cm,135 cm
28-Nov-11,10 cm,737 cm,140 cm
30-Nov-11,18 cm,755 cm,145 cm
7-Dec-11,1 cm,756 cm,124 cm
8-Dec-11,3 cm,759 cm,124 cm
15-Dec-11,10 cm,769 cm,127 cm
16-Dec-11,1 cm,770 cm,127 cm
17-Dec-11,8 cm,778 cm,127 cm
23-Dec-11,1 cm,779 cm,127 cm
24-Dec-11,13 cm,792 cm,127 cm
26-Dec-11,20 cm,812 cm,127 cm
27-Dec-11,15 cm,827 cm,140 cm
28-Dec-11,23 cm,850 cm,157 cm
30-Dec-11,15 cm,865 cm,170 cm
31-Dec-11,3 cm,868 cm,165 cm
1-Jan-10,8 cm,8 cm,221 cm
2-Jan-10,10 cm,18 cm,244 cm
3-Jan-10,3 cm,21 cm,241 cm
4-Jan-10,5 cm,26 cm,241 cm
5-Jan-10,5 cm,31 cm,244 cm
10-Jan-10,3 cm,34 cm,224 cm
11-Jan-10,15 cm,49 cm,234 cm
13-Jan-10,5 cm,54 cm,244 cm
15-Jan-10,46 cm,100 cm,274 cm
17-Jan-10,8 cm,108 cm,284 cm
18-Jan-10,15 cm,123 cm,292 cm
19-Jan-10,18 cm,141 cm,297 cm
20-Jan-10,10 cm,151 cm,305 cm
21-Jan-10,3 cm,154 cm,302 cm
25-Jan-10,8 cm,162 cm,279 cm
26-Jan-10,15 cm,177 cm,290 cm
27-Jan-10,3 cm,180 cm,292 cm
29-Jan-10,2 cm,182 cm,279 cm
31-Jan-10,3 cm,185 cm,272 cm
2-Feb-10,3 cm,188 cm,269 cm
3-Feb-10,3 cm,191 cm,269 cm
5-Feb-10,3 cm,194 cm,269 cm
7-Feb-10,3 cm,197 cm,267 cm
11-Feb-10,3 cm,200 cm,265 cm
12-Feb-10,25 cm,225 cm,286 cm
13-Feb-10,12 cm,237 cm,293 cm
14-Feb-10,18 cm,255 cm,303 cm
15-Feb-10,10 cm,265 cm,305 cm
17-Feb-10,17 cm,282 cm,307 cm
24-Feb-10,3 cm,285 cm,287 cm
25-Feb-10,7 cm,292 cm,289 cm
26-Feb-10,2 cm,294 cm,290 cm
27-Feb-10,12 cm,306 cm,290 cm
28-Feb-10,3 cm,309 cm,295 cm
3-Mar-10,3 cm,312 cm,290 cm
8-Mar-10,8 cm,320 cm,292 cm
10-Mar-10,3 cm,323 cm,292 cm
12-Mar-10,28 cm,351 cm,330 cm
15-Mar-10,10 cm,361 cm,328 cm
16-Mar-10,3 cm,364 cm,315 cm
17-Mar-10,15 cm,379 cm,330 cm
21-Mar-10,8 cm,387 cm,320 cm
22-Mar-10,8 cm,395 cm,325 cm
23-Mar-10,8 cm,403 cm,323 cm
26-Mar-10,2 cm,405 cm,314 cm
28-Mar-10,10 cm,415 cm,320 cm
29-Mar-10,36 cm,451 cm,351 cm
30-Mar-10,28 cm,479 cm,368 cm
31-Mar-10,7 cm,486 cm,366 cm
3-Apr-10,25 cm,511 cm,386 cm
4-Apr-10,3 cm,514 cm,376 cm
6-Apr-10,10 cm,524 cm,376 cm
7-Apr-10,3 cm,527 cm,376 cm
9-Apr-10,5 cm,532 cm,389 cm
13-Apr-10,5 cm,537 cm,368 cm
24-Apr-10,8 cm,545 cm,320 cm
3-May-10,13 cm,558 cm,241 cm
5-May-10,1 cm,559 cm,248 cm
8-May-10,5 cm,564 cm,244 cm
19-Nov-10,10 cm,574 cm,15 cm
20-Nov-10,13 cm,587 cm,15 cm
26-Nov-10,23 cm,610 cm,64 cm
27-Nov-10,23 cm,633 cm,64 cm
28-Nov-10,5 cm,638 cm,64 cm
1-Dec-10,13 cm,651 cm,76 cm
2-Dec-10,13 cm,664 cm,76 cm
3-Dec-10,10 cm,674 cm,76 cm
7-Dec-10,3 cm,677 cm,76 cm
8-Dec-10,20 cm,697 cm,76 cm
