Resort,Zip,Years,Visits
Whitefish,59937,97-98,"207,592"
Whitefish,59937,98-99,"223,013"
Whitefish,59937,99-00,"285,681"
Whitefish,59937,00-01,"254,922"
Whitefish,59937,44563,"267,731"
Whitefish,59937,44595,"235,018"
Whitefish,59937,44624,"258,738"
Whitefish,59937,44656,"213,409"
Whitefish,59937,44687,"304,366"
Whitefish,59937,44719,"260,278"
Whitefish,59937,44750,"296,708"
Whitefish,59937,44782,"280,484"
Whitefish,59937,44814,"282,933"
Whitefish,59937,44845,"318,222"
Whitefish,59937,44877,"294,261"
Whitefish,59937,44908,"322,589"
Whitefish,59937,13-14,"344,958"
Whitefish,59937,14-15,"310,290"
Whitefish,59937,15-16,"322,459"
Whitefish,59937,16-17,"346,547"
Whitefish,59937,17-18,"382,066"
Whitefish,59937,18-19,"379,387"
Whitefish,59937,19-20,"358,990"
Whitefish,59937,20-21,"458,526"
